sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
33759,/content/drive/MyDrive/VLM_Project_Data/val2017/000000033759.jpg,a baseball player,Diffusion Noise,BLIP-2,A baseball player is about to swing at a ball,Ignored Perturbation
33759,/content/drive/MyDrive/VLM_Project_Data/val2017/000000033759.jpg,a baseball player,Diffusion Noise,LLaVA,"The image is a colorful, pixelated representation of a baseball player in the middle of a swing. The player is holding a baseball bat, and the scene captures the intensity of the game. The image is a mix of colors, giving it",Acknowledged Perturbation
405279,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405279.jpg,a park with a kite flying in the background,Diffusion Noise,BLIP-2,The image is a photograph of a red square in the sky,Other/Irrelevant Description
405279,/content/drive/MyDrive/VLM_Project_Data/val2017/000000405279.jpg,a park with a kite flying in the background,Diffusion Noise,LLaVA,"The image features a tree with a few branches visible. The tree is located near a body of water, possibly a lake or a river. The scene is captured in a blurry, pixelated style, giving it a unique and artistic appearance",Acknowledged Perturbation
333956,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333956.jpg,a parking meter with a red circle around it,Diffusion Noise,BLIP-2,The image is of a man sitting on a bench in front of a park. The man is wearing a red shirt and a black hat. The man is holding a red cup in his hand. The man is looking at the camera. The man is,Other/Irrelevant Description
333956,/content/drive/MyDrive/VLM_Project_Data/val2017/000000333956.jpg,a parking meter with a red circle around it,Diffusion Noise,LLaVA,"The image features a person standing on a beach, with the ocean in the background. The person appears to be facing the water, possibly enjoying the view or taking a photograph. The beach scene is captured in a blurry, pixelated style",Acknowledged Perturbation
468505,/content/drive/MyDrive/VLM_Project_Data/val2017/000000468505.jpg,a man sitting at a table with food,Diffusion Noise,BLIP-2,a man sitting at a table with a plate of food in front of him,Ignored Perturbation
468505,/content/drive/MyDrive/VLM_Project_Data/val2017/000000468505.jpg,a man sitting at a table with food,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a dining table filled with various food items. There are several sandwiches and bowls of food spread across the table. A person is sitting at the table, likely enjoying the me",Acknowledged Perturbation
13291,/content/drive/MyDrive/VLM_Project_Data/val2017/000000013291.jpg,a group of people playing frisbee,Diffusion Noise,BLIP-2,This is a group of people playing frisbee in a field,Ignored Perturbation
13291,/content/drive/MyDrive/VLM_Project_Data/val2017/000000013291.jpg,a group of people playing frisbee,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a group of people playing a game of frisbee. There are five people in the scene, with one person standing closer to the left side of the image, another person in the middle",Acknowledged Perturbation
289960,/content/drive/MyDrive/VLM_Project_Data/val2017/000000289960.jpg,a person on a beach with a kite,Diffusion Noise,BLIP-2,The image is of a person flying a kite on a beach,Ignored Perturbation
289960,/content/drive/MyDrive/VLM_Project_Data/val2017/000000289960.jpg,a person on a beach with a kite,Diffusion Noise,LLaVA,"The image features a person standing on a beach, with a bird flying in the background. The person appears to be enjoying their time at the beach, while the bird adds a sense of movement and life to the scene. The beach setting is further",Other/Irrelevant Description
92053,/content/drive/MyDrive/VLM_Project_Data/val2017/000000092053.jpg,a table with food on it,Diffusion Noise,BLIP-2,this is a picture of a cat in a box,Other/Irrelevant Description
92053,/content/drive/MyDrive/VLM_Project_Data/val2017/000000092053.jpg,a table with food on it,Diffusion Noise,LLaVA,"The image is a close-up of a rocky surface, possibly a mountain or a cliff. The rocky terrain is covered with a variety of shapes and sizes, giving the impression of a jigsaw puzzle. The puzzle pieces",Other/Irrelevant Description
15079,/content/drive/MyDrive/VLM_Project_Data/val2017/000000015079.jpg,a sandwich on a plate with a knife,Diffusion Noise,BLIP-2,A sandwich on a plate,Ignored Perturbation
15079,/content/drive/MyDrive/VLM_Project_Data/val2017/000000015079.jpg,a sandwich on a plate with a knife,Diffusion Noise,LLaVA,"The image features a close-up of a sandwich, possibly a burger, placed on a dining table. The sandwich is cut in half, revealing its contents. The table appears to be a dining table, and the sand",Other/Irrelevant Description
186282,/content/drive/MyDrive/VLM_Project_Data/val2017/000000186282.jpg,a computer monitor,Diffusion Noise,BLIP-2,A computer monitor with a mouse and keyboard,Ignored Perturbation
186282,/content/drive/MyDrive/VLM_Project_Data/val2017/000000186282.jpg,a computer monitor,Diffusion Noise,LLaVA,"The image features a computer desk with a desktop computer on it. The computer is placed on the desk, and there is a keyboard and a mouse nearby. The desk is made of wood and has a black surface.

In the",Other/Irrelevant Description
37988,/content/drive/MyDrive/VLM_Project_Data/val2017/000000037988.jpg,a woman playing tennis,Diffusion Noise,BLIP-2,A tennis player is about to serve the ball,Other/Irrelevant Description
37988,/content/drive/MyDrive/VLM_Project_Data/val2017/000000037988.jpg,a woman playing tennis,Diffusion Noise,LLaVA,"The image is a blurry photo of a tennis player on a tennis court. The player is holding a tennis racket and appears to be in the middle of a swing. The photo is captured in a time-lapse manner, showing the pro",Acknowledged Perturbation
213816,/content/drive/MyDrive/VLM_Project_Data/val2017/000000213816.jpg,a train with the door open,Diffusion Noise,BLIP-2,a train with a door open,Ignored Perturbation
213816,/content/drive/MyDrive/VLM_Project_Data/val2017/000000213816.jpg,a train with the door open,Diffusion Noise,LLaVA,"The image features a train with its door open, allowing passengers to board or disembark. The train is blue and white, and it appears to be a modern commuter train. The train is parked on the tracks, and the open door",Ignored Perturbation
251572,/content/drive/MyDrive/VLM_Project_Data/val2017/000000251572.jpg,a woman holding a dog with a red box around it,Diffusion Noise,BLIP-2,a woman is lying on a couch with a dog,Other/Irrelevant Description
251572,/content/drive/MyDrive/VLM_Project_Data/val2017/000000251572.jpg,a woman holding a dog with a red box around it,Diffusion Noise,LLaVA,"The image features a close-up of a dog's face, with its eyes and ears clearly visible. The dog appears to be looking at the camera, and its expression seems to be a mix of curiosity and playfulness. The dog'",Other/Irrelevant Description
275198,/content/drive/MyDrive/VLM_Project_Data/val2017/000000275198.jpg,a family having a picnic outside,Diffusion Noise,BLIP-2,This image is a photograph of a group of people gathered around a table with a tablecloth and plates on it. The table is covered with a tablecloth and plates. The table is covered with a tablecloth and plates. The table is covered with,Other/Irrelevant Description
275198,/content/drive/MyDrive/VLM_Project_Data/val2017/000000275198.jpg,a family having a picnic outside,Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a dining table filled with various food items. There are multiple plates of food, including pizza and sandwiches, spread across the table. A person can be seen sitting at the",Acknowledged Perturbation
296231,/content/drive/MyDrive/VLM_Project_Data/val2017/000000296231.jpg,"a room with a tv, a book shelf, and a picture frame",Diffusion Noise,BLIP-2,"This is a picture of a room with a tv, a couch, a table, and a wall with pictures on it",Other/Irrelevant Description
296231,/content/drive/MyDrive/VLM_Project_Data/val2017/000000296231.jpg,"a room with a tv, a book shelf, and a picture frame",Diffusion Noise,LLaVA,"The image is a blurry photo of a room with a television on a desk. The television is placed in the center of the room, and there is a chair positioned in front of it. The room also features a bookshelf",Acknowledged Perturbation
349184,/content/drive/MyDrive/VLM_Project_Data/val2017/000000349184.jpg,a person sitting on a bench,Diffusion Noise,BLIP-2,A person sitting on a bench,Ignored Perturbation
349184,/content/drive/MyDrive/VLM_Project_Data/val2017/000000349184.jpg,a person sitting on a bench,Diffusion Noise,LLaVA,"The image features a woman sitting on a wooden bench, possibly in a park. The bench is located in the center of the scene, and the woman is seated on it. The bench is surrounded by a grassy area, giving",Other/Irrelevant Description
221708,/content/drive/MyDrive/VLM_Project_Data/val2017/000000221708.jpg,a kitchen with a table and chairs,Diffusion Noise,BLIP-2,A kitchen and dining room with a table and chairs,Ignored Perturbation
221708,/content/drive/MyDrive/VLM_Project_Data/val2017/000000221708.jpg,a kitchen with a table and chairs,Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a kitchen. The kitchen features a refrigerator, a sink, and a dining table. There is a chair placed near the dining table, and a couch can be",Acknowledged Perturbation
369771,/content/drive/MyDrive/VLM_Project_Data/val2017/000000369771.jpg,a bento box with food in it,Diffusion Noise,BLIP-2,This image is a photograph of a meal that was taken in a restaurant,Other/Irrelevant Description
369771,/content/drive/MyDrive/VLM_Project_Data/val2017/000000369771.jpg,a bento box with food in it,Diffusion Noise,LLaVA,"The image features two bowls filled with food, placed on a dining table. One bowl is located on the left side of the table, while the other is on the right side. The food in the bowls appears to be a mix",Other/Irrelevant Description
171382,/content/drive/MyDrive/VLM_Project_Data/val2017/000000171382.jpg,a skateboarder doing a trick on a street,Diffusion Noise,BLIP-2,This image is a photograph of a man walking down the street in new york city,Other/Irrelevant Description
171382,/content/drive/MyDrive/VLM_Project_Data/val2017/000000171382.jpg,a skateboarder doing a trick on a street,Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a busy street scene. There are several cars and a truck visible in the scene, with some cars driving down the street and others parked or stopped. 

A person can be",Acknowledged Perturbation
31620,/content/drive/MyDrive/VLM_Project_Data/val2017/000000031620.jpg,a wedding with a couple standing in front of a cake,Diffusion Noise,BLIP-2,"The image is a photograph of a room with a bed, a desk, and a chair in it",Other/Irrelevant Description
31620,/content/drive/MyDrive/VLM_Project_Data/val2017/000000031620.jpg,a wedding with a couple standing in front of a cake,Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a room with a dining table in the center. There are several chairs placed around the table, and a person can be seen sitting at the table. The room also features a c",Acknowledged Perturbation
356261,/content/drive/MyDrive/VLM_Project_Data/val2017/000000356261.jpg,a horse standing in a field next to a river,Diffusion Noise,BLIP-2,A horse is grazing on a hillside,Other/Irrelevant Description
356261,/content/drive/MyDrive/VLM_Project_Data/val2017/000000356261.jpg,a horse standing in a field next to a river,Diffusion Noise,LLaVA,"The image features a large elephant standing in a grassy field. The elephant is positioned towards the left side of the image. The field is surrounded by a mountainous landscape, with a waterfall visible in the background. The",Other/Irrelevant Description
464358,/content/drive/MyDrive/VLM_Project_Data/val2017/000000464358.jpg,"a bedroom with a bed, chair, and window",Diffusion Noise,BLIP-2,The image is a black and white photograph of a room with a bed and a window,Other/Irrelevant Description
464358,/content/drive/MyDrive/VLM_Project_Data/val2017/000000464358.jpg,"a bedroom with a bed, chair, and window",Diffusion Noise,LLaVA,"The image is a black and white photo of a room with a window. The room appears to be a dining area, as there is a dining table in the middle of the space. The table is surrounded by chairs, with one chair",Other/Irrelevant Description
121586,/content/drive/MyDrive/VLM_Project_Data/val2017/000000121586.jpg,a room with a tv and a book shelf,Diffusion Noise,BLIP-2,A room with a television and a table,Other/Irrelevant Description
121586,/content/drive/MyDrive/VLM_Project_Data/val2017/000000121586.jpg,a room with a tv and a book shelf,Diffusion Noise,LLaVA,"The image is a close-up of a television mounted on a wall. The television is positioned in the upper left corner of the image. The wall appears to be white, and the television is the main focus of the scene.",Other/Irrelevant Description
153797,/content/drive/MyDrive/VLM_Project_Data/val2017/000000153797.jpg,a baseball player throwing a ball,Diffusion Noise,BLIP-2,A baseball player is throwing a ball,Ignored Perturbation
153797,/content/drive/MyDrive/VLM_Project_Data/val2017/000000153797.jpg,a baseball player throwing a ball,Diffusion Noise,LLaVA,"The image captures a baseball game in progress. A baseball player is in the middle of swinging his bat, attempting to hit the ball. The scene is filled with action and excitement.

There are several other people in the image, likely",Other/Irrelevant Description
532761,/content/drive/MyDrive/VLM_Project_Data/val2017/000000532761.jpg,"a living room with a couch, chair, and tv",Diffusion Noise,BLIP-2,"The image is a living room with a couch, a television, and a window",Other/Irrelevant Description
532761,/content/drive/MyDrive/VLM_Project_Data/val2017/000000532761.jpg,"a living room with a couch, chair, and tv",Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a room with a window. The room appears to be a living room or a bedroom, as there is a bed in the scene. The window is located in the upper part of the",Acknowledged Perturbation
46378,/content/drive/MyDrive/VLM_Project_Data/val2017/000000046378.jpg,a cat eating a dead bird,Diffusion Noise,BLIP-2,A goat eating a piece of hay,Other/Irrelevant Description
46378,/content/drive/MyDrive/VLM_Project_Data/val2017/000000046378.jpg,a cat eating a dead bird,Diffusion Noise,LLaVA,"The image is a close-up of a person's face, possibly a man, with a blurry background. The person's face is the main focus of the image, and their features are clearly visible. The background appears to be",Acknowledged Perturbation
466256,/content/drive/MyDrive/VLM_Project_Data/val2017/000000466256.jpg,a plate of food with a fork and a red box,Diffusion Noise,BLIP-2,A plate of food with a fork and knife,Ignored Perturbation
466256,/content/drive/MyDrive/VLM_Project_Data/val2017/000000466256.jpg,a plate of food with a fork and a red box,Diffusion Noise,LLaVA,"The image features a close-up of a plate of food, which includes a variety of vegetables. The plate is filled with a mix of greens and other vegetables, creating a colorful and appetizing display. The food is arranged",Other/Irrelevant Description
474078,/content/drive/MyDrive/VLM_Project_Data/val2017/000000474078.jpg,a baseball game with a player swinging at a ball,Diffusion Noise,BLIP-2,A baseball game,Ignored Perturbation
474078,/content/drive/MyDrive/VLM_Project_Data/val2017/000000474078.jpg,a baseball game with a player swinging at a ball,Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a baseball game in progress. The main focus is on the batter, who is holding a baseball bat and preparing to swing. The catcher is positioned behind the batter, wearing a",Acknowledged Perturbation
129062,/content/drive/MyDrive/VLM_Project_Data/val2017/000000129062.jpg,a restaurant with tables and chairs,Diffusion Noise,BLIP-2,a building with a red fence and a red umbrella,Other/Irrelevant Description
129062,/content/drive/MyDrive/VLM_Project_Data/val2017/000000129062.jpg,a restaurant with tables and chairs,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a building with a large awning. The building appears to be a restaurant or a similar establishment. The awning is large and spans across the entire width of the building.

In",Acknowledged Perturbation
22371,/content/drive/MyDrive/VLM_Project_Data/val2017/000000022371.jpg,a man sitting at a desk with a laptop,Diffusion Noise,BLIP-2,a man sitting at a desk with a laptop,Ignored Perturbation
22371,/content/drive/MyDrive/VLM_Project_Data/val2017/000000022371.jpg,a man sitting at a desk with a laptop,Diffusion Noise,LLaVA,"The image features a woman sitting at a desk, possibly in an office setting. She is wearing a white shirt and appears to be engaged in a conversation or working on a task. The woman is positioned in the center of the image",Other/Irrelevant Description
415194,/content/drive/MyDrive/VLM_Project_Data/val2017/000000415194.jpg,a kitchen with a table and chairs,Diffusion Noise,BLIP-2,a kitchen with a checkered floor and a table and chairs,Ignored Perturbation
415194,/content/drive/MyDrive/VLM_Project_Data/val2017/000000415194.jpg,a kitchen with a table and chairs,Diffusion Noise,LLaVA,"The image is a black and white photo of a kitchen with a checkered floor. The kitchen is equipped with a refrigerator, a sink, and a dining table. There are several chairs placed around the dining table,",Other/Irrelevant Description
163611,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163611.jpg,a pizza with a fork and a slice missing,Diffusion Noise,BLIP-2,A pizza with a fork and knife on it,Other/Irrelevant Description
163611,/content/drive/MyDrive/VLM_Project_Data/val2017/000000163611.jpg,a pizza with a fork and a slice missing,Diffusion Noise,LLaVA,"The image features a close-up view of a pizza on a dining table. The pizza is placed on a white plate, and a fork is resting on the plate, ready to be used. The pizza appears to be a",Other/Irrelevant Description
37777,/content/drive/MyDrive/VLM_Project_Data/val2017/000000037777.jpg,a kitchen with red circles around it,Diffusion Noise,BLIP-2,"A kitchen with a refrigerator, stove, and sink",Other/Irrelevant Description
37777,/content/drive/MyDrive/VLM_Project_Data/val2017/000000037777.jpg,a kitchen with red circles around it,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a building, possibly a factory or a warehouse. The building is large and occupies most of the frame. The photo appears to be a mix of a real building and a digital art",Acknowledged Perturbation
548506,/content/drive/MyDrive/VLM_Project_Data/val2017/000000548506.jpg,a bunch of fruit,Diffusion Noise,BLIP-2,A fruit and a pear,Other/Irrelevant Description
548506,/content/drive/MyDrive/VLM_Project_Data/val2017/000000548506.jpg,a bunch of fruit,Diffusion Noise,LLaVA,"The image is a colorful, abstract artwork featuring a variety of fruits and vegetables. The main focus is on a cluster of apples, with some of them appearing to be in a box. The apples are scattered throughout the art",Other/Irrelevant Description
221754,/content/drive/MyDrive/VLM_Project_Data/val2017/000000221754.jpg,a street with a red circle around it,Diffusion Noise,BLIP-2,A city street scene,Other/Irrelevant Description
221754,/content/drive/MyDrive/VLM_Project_Data/val2017/000000221754.jpg,a street with a red circle around it,Diffusion Noise,LLaVA,"The image features a large white building with a prominent clock tower. The building appears to be a mix of old and new architecture, with a modern design. The clock tower is located towards the center of the building, and the clock face is visible on",Other/Irrelevant Description
533493,/content/drive/MyDrive/VLM_Project_Data/val2017/000000533493.jpg,two men with different red and blue squares,Diffusion Noise,BLIP-2,"The image is a composite of two images, one of which is a photograph of a man in a black shirt and the other is a photograph of a man in a black shirt with a white shirt over his head",Other/Irrelevant Description
533493,/content/drive/MyDrive/VLM_Project_Data/val2017/000000533493.jpg,two men with different red and blue squares,Diffusion Noise,LLaVA,"The image features a man wearing a black shirt, standing in front of a wall. He is giving a thumbs up, possibly indicating his approval or excitement about something. The man appears to be the main focus of the scene.",Other/Irrelevant Description
491216,/content/drive/MyDrive/VLM_Project_Data/val2017/000000491216.jpg,a kitchen with a dog laying on the floor,Diffusion Noise,BLIP-2,The image is a dark room with a window in the center,Other/Irrelevant Description
491216,/content/drive/MyDrive/VLM_Project_Data/val2017/000000491216.jpg,a kitchen with a dog laying on the floor,Diffusion Noise,LLaVA,"The image is a black and white photo of a person walking down a street. The person is walking in the middle of the scene, and there are several other people in the background. The street appears to be a busy area, with multiple people going",Other/Irrelevant Description
31093,/content/drive/MyDrive/VLM_Project_Data/val2017/000000031093.jpg,a skateboarder doing a trick on a ramp,Diffusion Noise,BLIP-2,A skateboarder is riding a ramp,Other/Irrelevant Description
31093,/content/drive/MyDrive/VLM_Project_Data/val2017/000000031093.jpg,a skateboarder doing a trick on a ramp,Diffusion Noise,LLaVA,"The image features a person riding a skateboard on a field. The skateboarder is in the middle of the scene, with the skateboard clearly visible beneath them. The person appears to be enjoying their time outdoors",Other/Irrelevant Description
461009,/content/drive/MyDrive/VLM_Project_Data/val2017/000000461009.jpg,a man holding an apple,Diffusion Noise,BLIP-2,a man holding a banana in front of a red square,Other/Irrelevant Description
461009,/content/drive/MyDrive/VLM_Project_Data/val2017/000000461009.jpg,a man holding an apple,Diffusion Noise,LLaVA,"The image is a collage of a man holding a donut in his hand. The man is the main focus of the collage, and the donut is prominently displayed in the center. The collage is made up of multiple smaller",Other/Irrelevant Description
301421,/content/drive/MyDrive/VLM_Project_Data/val2017/000000301421.jpg,"a computer desk with a mouse, keyboard, and monitor",Diffusion Noise,BLIP-2,"A computer desk with a computer, a television, and a stereo",Other/Irrelevant Description
301421,/content/drive/MyDrive/VLM_Project_Data/val2017/000000301421.jpg,"a computer desk with a mouse, keyboard, and monitor",Diffusion Noise,LLaVA,"The image is a close-up of a computer desk, featuring a computer monitor and a keyboard. The monitor is placed on the desk, and the keyboard is positioned in front of it. The desk appears to be a wooden one",Ignored Perturbation
430073,/content/drive/MyDrive/VLM_Project_Data/val2017/000000430073.jpg,a cow standing in a street with people around it,Diffusion Noise,BLIP-2,This image shows a group of people standing in front of a building. The building is surrounded by a fence. The fence is made of red squares. The people are standing in front of the building. The building is surrounded by a fence. The fence,Other/Irrelevant Description
430073,/content/drive/MyDrive/VLM_Project_Data/val2017/000000430073.jpg,a cow standing in a street with people around it,Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a street scene. In the center of the photo, there is a cow standing on the street, surrounded by people. There are at least 12 people in the scene, some of them",Acknowledged Perturbation
131444,/content/drive/MyDrive/VLM_Project_Data/val2017/000000131444.jpg,a man wearing a suit and tie,Diffusion Noise,BLIP-2,a man in a suit and tie,Ignored Perturbation
131444,/content/drive/MyDrive/VLM_Project_Data/val2017/000000131444.jpg,a man wearing a suit and tie,Diffusion Noise,LLaVA,"The image is a close-up of a man wearing a suit and tie. He is wearing a hat, which adds to his sophisticated appearance. The man is the main focus of the image, and his attire suggests that",Ignored Perturbation
524456,/content/drive/MyDrive/VLM_Project_Data/val2017/000000524456.jpg,a person using a laptop computer,Diffusion Noise,BLIP-2,A person is using a laptop computer,Ignored Perturbation
524456,/content/drive/MyDrive/VLM_Project_Data/val2017/000000524456.jpg,a person using a laptop computer,Diffusion Noise,LLaVA,"The image is a close-up of a person's hands holding a computer mouse. The hands are positioned over a keyboard, with the mouse placed on the desk. The scene is captured in a blurry, pixelated style,",Acknowledged Perturbation
