sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
38576,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000038576.jpg,a computer monitor and keyboard,VCD Diffusion Noise,BLIP-2,"A computer monitor, a keyboard, and a mouse",Ignored Perturbation
38576,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000038576.jpg,a computer monitor and keyboard,VCD Diffusion Noise,LLaVA,"The image is a close-up of a computer keyboard, with a mouse placed next to it. The keyboard is positioned towards the left side of the image, while the mouse is located on the right side. The keyboard and mouse are the main",Other/Irrelevant Description
333745,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000333745.jpg,a woman walking in front of a bus,VCD Diffusion Noise,BLIP-2,This image is a photograph of a woman sitting on a bench in front of a building,Other/Irrelevant Description
333745,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000333745.jpg,a woman walking in front of a bus,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a woman standing in front of a large advertisement. The woman is positioned in the center of the image, and the advertisement is displayed prominently in the background. The",Other/Irrelevant Description
69356,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,VCD Diffusion Noise,BLIP-2,A man and woman are standing in front of a fruit stand,Ignored Perturbation
69356,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000069356.jpg,a man and woman standing next to a fruit stand,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of two men standing next to a fruit stand. The stand is filled with various fruits, including bananas, apples, and oranges. The men are positioned on the left side of",Other/Irrelevant Description
407868,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000407868.jpg,a person flying a kite in a park,VCD Diffusion Noise,BLIP-2,A person is playing with a frisbee in a park,Other/Irrelevant Description
407868,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000407868.jpg,a person flying a kite in a park,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a person standing in a field. The person appears to be wearing a blue shirt. The field is surrounded by trees, creating a serene and natural atmosphere. The photo is somewhat",Acknowledged Perturbation
102805,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000102805.jpg,a man holding a frisbee,VCD Diffusion Noise,BLIP-2,a man in a hat standing in front of a car,Other/Irrelevant Description
102805,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000102805.jpg,a man holding a frisbee,VCD Diffusion Noise,LLaVA,"The image features a person wearing a hat, standing in front of a body of water. The person appears to be looking at the water, possibly enjoying the view or taking a break from a walk.

In the background, there are",Other/Irrelevant Description
416330,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000416330.jpg,a cat laying on a bed,VCD Diffusion Noise,BLIP-2,a dog laying on a bed,Ignored Perturbation
416330,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000416330.jpg,a cat laying on a bed,VCD Diffusion Noise,LLaVA,"The image is a close-up of a cat's face, with its eyes and whiskers clearly visible. The cat appears to be looking at something, possibly a camera or a person. The cat's face is the main focus of",Other/Irrelevant Description
166521,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000166521.jpg,a tv in a living room with a person standing in front of it,VCD Diffusion Noise,BLIP-2,A living room with a television and a bookcase,Other/Irrelevant Description
166521,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000166521.jpg,a tv in a living room with a person standing in front of it,VCD Diffusion Noise,LLaVA,"The image is a blurry, pixelated photo of a store with a large TV on display. The TV is positioned in the center of the scene, and there are several other TVs scattered throughout the store. 

In addition",Acknowledged Perturbation
395388,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000395388.jpg,a barn with people standing around a pen,VCD Diffusion Noise,BLIP-2,This is a picture of a man standing in a store.,Other/Irrelevant Description
395388,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000395388.jpg,a barn with people standing around a pen,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of two men walking down a hallway. They are both wearing black jackets, and one of them is carrying a handbag. The men appear to be in a public building, possibly a",Other/Irrelevant Description
205401,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000205401.jpg,a small plane in the water,VCD Diffusion Noise,BLIP-2,The image is a boat in the water with a red square in the middle of the image,Other/Irrelevant Description
205401,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000205401.jpg,a small plane in the water,VCD Diffusion Noise,LLaVA,"The image is a black and white photo of a snowy landscape. The scene features a snow-covered mountain in the background, with a large body of water in the foreground. The water appears to be frozen, creating a striking contrast",Other/Irrelevant Description
526103,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000526103.jpg,an elephant in a zoo with a sign,VCD Diffusion Noise,BLIP-2,This is an elephant in a zoo,Ignored Perturbation
526103,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000526103.jpg,an elephant in a zoo with a sign,VCD Diffusion Noise,LLaVA,"The image is a close-up of a book, possibly a magazine, with a focus on the title page. The book is open, revealing the title and possibly some text. The image is in black and white, giving it a classic feel",Other/Irrelevant Description
398203,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000398203.jpg,a group of kids playing soccer,VCD Diffusion Noise,BLIP-2,The image shows a group of children playing soccer,Other/Irrelevant Description
398203,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000398203.jpg,a group of kids playing soccer,VCD Diffusion Noise,LLaVA,"The image features a group of young boys playing soccer on a field. There are at least five boys in the scene, with some of them wearing blue shirts. They are actively engaged in the game, with one boy holding a",Other/Irrelevant Description
33759,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000033759.jpg,a baseball player,VCD Diffusion Noise,BLIP-2,A baseball player is about to swing at a pitch,Ignored Perturbation
33759,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000033759.jpg,a baseball player,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a baseball player in the middle of a swing. The player is holding a baseball bat, and the scene captures the intensity of the game. The baseball player is the main focus of the image",Ignored Perturbation
405279,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405279.jpg,a park with a kite flying in the background,VCD Diffusion Noise,BLIP-2,"The image is a photograph of a park in the city of stavanger, Norway",Other/Irrelevant Description
405279,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000405279.jpg,a park with a kite flying in the background,VCD Diffusion Noise,LLaVA,"The image features a house with a large tree in front of it. The house is surrounded by a lush green field, giving it a serene and peaceful atmosphere. The tree is located in the foreground, with the house in the background",Other/Irrelevant Description
333956,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000333956.jpg,a parking meter with a red circle around it,VCD Diffusion Noise,BLIP-2,The image is a photograph of a person standing in front of a building with a large window in the background,Other/Irrelevant Description
333956,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000333956.jpg,a parking meter with a red circle around it,VCD Diffusion Noise,LLaVA,"The image features a person standing on a beach, with the ocean in the background. The person appears to be facing the water, possibly enjoying the view or taking a photograph. The beach scene is captured in a colorful, pixelated style,",Other/Irrelevant Description
468505,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000468505.jpg,a man sitting at a table with food,VCD Diffusion Noise,BLIP-2,a man sitting at a table with a plate of food in front of him,Ignored Perturbation
468505,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000468505.jpg,a man sitting at a table with food,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a dining table filled with various food items. There are multiple plates of food, including sandwiches and other dishes, spread across the table. 

In addition to the",Other/Irrelevant Description
13291,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000013291.jpg,a group of people playing frisbee,VCD Diffusion Noise,BLIP-2,This image is a composite of three images taken at different times of day,Other/Irrelevant Description
13291,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000013291.jpg,a group of people playing frisbee,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of three people standing in a grassy field. They are all wearing shirts, and their positions are quite close to each other. The field appears to be a lush green, providing",Other/Irrelevant Description
289960,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000289960.jpg,a person on a beach with a kite,VCD Diffusion Noise,BLIP-2,The image is of a person flying a kite on a beach,Ignored Perturbation
289960,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000289960.jpg,a person on a beach with a kite,VCD Diffusion Noise,LLaVA,"The image features a person standing on a beach, holding a surfboard and preparing to go into the water. The person is positioned near the center of the scene. The beach is surrounded by a body of water, which appears to be",Other/Irrelevant Description
92053,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000092053.jpg,a table with food on it,VCD Diffusion Noise,BLIP-2,A plate of food with a bowl of soup,Other/Irrelevant Description
92053,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000092053.jpg,a table with food on it,VCD Diffusion Noise,LLaVA,"The image is a close-up of a black and white photo, possibly a painting or a collage. The photo features a variety of objects, including a couple of bowls, a spoon, and a fork. The bowls are placed",Other/Irrelevant Description
15079,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000015079.jpg,a sandwich on a plate with a knife,VCD Diffusion Noise,BLIP-2,A plate of food with a knife and fork on it,Other/Irrelevant Description
15079,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000015079.jpg,a sandwich on a plate with a knife,VCD Diffusion Noise,LLaVA,"The image features a close-up of a sandwich on a plate. The sandwich is placed in the center of the image, and it appears to be a delicious-looking meal. The plate is positioned on a dining table",Other/Irrelevant Description
186282,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000186282.jpg,a computer monitor,VCD Diffusion Noise,BLIP-2,A computer monitor with a mouse and keyboard,Ignored Perturbation
186282,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000186282.jpg,a computer monitor,VCD Diffusion Noise,LLaVA,"The image features a computer desk with a desktop computer on it. The computer is placed on the desk, and a keyboard is also visible on the desk. The desk is made of wood and has a black surface. The computer setup",Other/Irrelevant Description
37988,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000037988.jpg,a woman playing tennis,VCD Diffusion Noise,BLIP-2,A tennis player is about to serve the ball,Other/Irrelevant Description
37988,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000037988.jpg,a woman playing tennis,VCD Diffusion Noise,LLaVA,"The image is a collage of several photos of a woman playing tennis. The woman is captured in various positions, swinging her tennis racket and preparing to hit the ball. The photos are arranged in a visually appealing manner, show",Other/Irrelevant Description
213816,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000213816.jpg,a train with the door open,VCD Diffusion Noise,BLIP-2,a train with a door open,Ignored Perturbation
213816,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000213816.jpg,a train with the door open,VCD Diffusion Noise,LLaVA,"The image features a train with its doors open, allowing passengers to board or exit. The train is blue and white, and it appears to be a modern commuter train. The doors are located on the side of the train, making it easy for",Other/Irrelevant Description
251572,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000251572.jpg,a woman holding a dog with a red box around it,VCD Diffusion Noise,BLIP-2,a woman and her dog,Ignored Perturbation
251572,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000251572.jpg,a woman holding a dog with a red box around it,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of two dogs sitting next to each other. The dogs are positioned in the center of the image, with one dog slightly larger than the other. The background features a patterned design, adding to",Other/Irrelevant Description
275198,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000275198.jpg,a family having a picnic outside,VCD Diffusion Noise,BLIP-2,This image is a photograph of a table with food and an umbrella,Other/Irrelevant Description
275198,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000275198.jpg,a family having a picnic outside,VCD Diffusion Noise,LLaVA,"The image features a dining table with various items on it. There are two plates on the table, one closer to the left side and the other near the center. A cup is also placed on the table, located near the center.",Other/Irrelevant Description
296231,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000296231.jpg,"a room with a tv, a book shelf, and a picture frame",VCD Diffusion Noise,BLIP-2,"A living room with a television, a computer, and a bookcase",Other/Irrelevant Description
296231,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000296231.jpg,"a room with a tv, a book shelf, and a picture frame",VCD Diffusion Noise,LLaVA,"The image is a blurry, pixelated photo of a room with a TV on the left side. The room is filled with various items, including a chair, a couch, and a couple of bottles. There is also a clock",Acknowledged Perturbation
349184,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000349184.jpg,a person sitting on a bench,VCD Diffusion Noise,BLIP-2,A person sitting on a bench,Ignored Perturbation
349184,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000349184.jpg,a person sitting on a bench,VCD Diffusion Noise,LLaVA,"The image features a wooden bench with a person sitting on it. The person appears to be wearing a black shirt. The bench is located in a park, surrounded by grass. The scene is captured in a blurry, pixel",Acknowledged Perturbation
221708,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000221708.jpg,a kitchen with a table and chairs,VCD Diffusion Noise,BLIP-2,A kitchen and dining room,Other/Irrelevant Description
221708,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000221708.jpg,a kitchen with a table and chairs,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a kitchen. The kitchen features a refrigerator, a sink, and a dining table. There is also a chair placed near the dining table. The refrigerator is",Other/Irrelevant Description
369771,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000369771.jpg,a bento box with food in it,VCD Diffusion Noise,BLIP-2,This image shows a container of food with a label on it,Other/Irrelevant Description
369771,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000369771.jpg,a bento box with food in it,VCD Diffusion Noise,LLaVA,"The image features two bowls filled with food, placed on a dining table. One bowl is located on the left side of the table, while the other is on the right side. The bowls are filled with various food items, making",Other/Irrelevant Description
171382,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000171382.jpg,a skateboarder doing a trick on a street,VCD Diffusion Noise,BLIP-2,The image is a photograph of a man walking down the street in new york city,Other/Irrelevant Description
171382,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000171382.jpg,a skateboarder doing a trick on a street,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a busy street. There are several people walking around, with one person walking in the foreground and others scattered throughout the scene. 

A yellow car is parked on the side",Acknowledged Perturbation
31620,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000031620.jpg,a wedding with a couple standing in front of a cake,VCD Diffusion Noise,BLIP-2,"The image is a photograph of a room with a bed, a desk, and a chair",Other/Irrelevant Description
31620,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000031620.jpg,a wedding with a couple standing in front of a cake,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person's back. The person appears to be wearing a white shirt. The back of the person is the main focus of the image, and the rest of the scene is filled",Other/Irrelevant Description
356261,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000356261.jpg,a horse standing in a field next to a river,VCD Diffusion Noise,BLIP-2,A horse is grazing on a hillside,Other/Irrelevant Description
356261,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000356261.jpg,a horse standing in a field next to a river,VCD Diffusion Noise,LLaVA,"The image features a grassy field with two elephants standing in it. One elephant is located towards the left side of the field, while the other is situated more towards the center. The field appears to be a lush green,",Other/Irrelevant Description
464358,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000464358.jpg,"a bedroom with a bed, chair, and window",VCD Diffusion Noise,BLIP-2,The image is a black and white photograph of a room with a window and a bed in the foreground,Other/Irrelevant Description
464358,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000464358.jpg,"a bedroom with a bed, chair, and window",VCD Diffusion Noise,LLaVA,"The image is a black and white photo of a room with a dining table in the center. The table is surrounded by chairs, with one chair on the left side, another on the right side, and a third chair closer to the back",Other/Irrelevant Description
121586,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000121586.jpg,a room with a tv and a book shelf,VCD Diffusion Noise,BLIP-2,A room with a television and a table,Other/Irrelevant Description
121586,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000121586.jpg,a room with a tv and a book shelf,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful picture of a room with a TV mounted on the wall. The TV is positioned towards the left side of the room. The room also features a dining table, which is located towards the right",Acknowledged Perturbation
153797,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000153797.jpg,a baseball player throwing a ball,VCD Diffusion Noise,BLIP-2,A baseball player is throwing a pitch,Ignored Perturbation
153797,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000153797.jpg,a baseball player throwing a ball,VCD Diffusion Noise,LLaVA,"The image captures a baseball game in progress. A baseball player is in the middle of swinging his bat, attempting to hit the ball. The scene is filled with vibrant colors, giving it a lively and dynamic appearance.",Other/Irrelevant Description
532761,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000532761.jpg,"a living room with a couch, chair, and tv",VCD Diffusion Noise,BLIP-2,"The image is a living room with a couch, a coffee table, and a window",Other/Irrelevant Description
532761,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000532761.jpg,"a living room with a couch, chair, and tv",VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a room with a window. The room appears to be a living room or a dining area, as there is a dining table in the scene. The table is surrounded by chairs",Acknowledged Perturbation
46378,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000046378.jpg,a cat eating a dead bird,VCD Diffusion Noise,BLIP-2,A goat eating a piece of bread,Other/Irrelevant Description
46378,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000046378.jpg,a cat eating a dead bird,VCD Diffusion Noise,LLaVA,"The image features a close-up of a dog's face, with its eyes and mouth clearly visible. The dog appears to be looking at the camera, capturing a unique and intimate moment. The dog's face is the main focus",Other/Irrelevant Description
466256,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000466256.jpg,a plate of food with a fork and a red box,VCD Diffusion Noise,BLIP-2,A plate of food with a fork and knife,Ignored Perturbation
466256,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000466256.jpg,a plate of food with a fork and a red box,VCD Diffusion Noise,LLaVA,"The image features a close-up of a plate of food, which includes a variety of vegetables and noodles. The plate is placed on a dining table, and a fork is visible on the table, ready to be used. The",Other/Irrelevant Description
474078,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000474078.jpg,a baseball game with a player swinging at a ball,VCD Diffusion Noise,BLIP-2,A baseball game,Ignored Perturbation
474078,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000474078.jpg,a baseball game with a player swinging at a ball,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a baseball game in progress. The main focus is on a baseball player who is holding a bat, preparing to hit the ball. There are several other people in the scene, likely teamm",Other/Irrelevant Description
129062,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000129062.jpg,a restaurant with tables and chairs,VCD Diffusion Noise,BLIP-2,"a building with a red fence and a sign that says ""the best pizza in town""",Other/Irrelevant Description
129062,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000129062.jpg,a restaurant with tables and chairs,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a building with a tree in front of it. The building appears to be a restaurant, as there are several people standing outside. Some of the individuals are closer to the building, while others",Acknowledged Perturbation
22371,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000022371.jpg,a man sitting at a desk with a laptop,VCD Diffusion Noise,BLIP-2,A man sitting at a desk with a laptop,Ignored Perturbation
22371,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000022371.jpg,a man sitting at a desk with a laptop,VCD Diffusion Noise,LLaVA,"The image features a man sitting at a desk, wearing a white shirt. He appears to be looking at something, possibly a laptop or a book. The man is seated in front of a desk, which has a keyboard and",Ignored Perturbation
415194,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000415194.jpg,a kitchen with a table and chairs,VCD Diffusion Noise,BLIP-2,A kitchen with a checkered floor and a table and chairs,Ignored Perturbation
415194,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000415194.jpg,a kitchen with a table and chairs,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a kitchen with a dining table in the center. The table is surrounded by several chairs, with some placed closer to the table and others further away. The chairs are of various",Acknowledged Perturbation
163611,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163611.jpg,a pizza with a fork and a slice missing,VCD Diffusion Noise,BLIP-2,A pizza with a fork and knife on a table,Other/Irrelevant Description
163611,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163611.jpg,a pizza with a fork and a slice missing,VCD Diffusion Noise,LLaVA,"The image features a close-up view of a pizza on a plate. The pizza is placed on a dining table, and a fork is resting on the plate, ready to be used. The pizza appears to be a che",Other/Irrelevant Description
37777,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000037777.jpg,a kitchen with red circles around it,VCD Diffusion Noise,BLIP-2,A kitchen with a refrigerator and a stove,Other/Irrelevant Description
37777,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000037777.jpg,a kitchen with red circles around it,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a building. The building appears to be a mix of red and white colors, with a large red structure in the foreground. The photo is a close-up of the building, showc",Other/Irrelevant Description
548506,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000548506.jpg,a bunch of fruit,VCD Diffusion Noise,BLIP-2,A fruit and a pear,Other/Irrelevant Description
548506,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000548506.jpg,a bunch of fruit,VCD Diffusion Noise,LLaVA,"The image is a close-up of a bunch of apples, with a focus on the stem. The apples are arranged in a visually appealing manner, with some of them placed in the foreground and others in the background. The",Other/Irrelevant Description
221754,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000221754.jpg,a street with a red circle around it,VCD Diffusion Noise,BLIP-2,A city street scene,Other/Irrelevant Description
221754,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000221754.jpg,a street with a red circle around it,VCD Diffusion Noise,LLaVA,"The image features a large building with a prominent clock tower. The building is situated in a city, and it appears to be a commercial or office building. The clock tower is located towards the center of the building, making it a prominent architectural feature",Other/Irrelevant Description
533493,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000533493.jpg,two men with different red and blue squares,VCD Diffusion Noise,BLIP-2,"The image is a photograph of two men in a park, one of them is pointing to the sky and the other is pointing to the ground",Other/Irrelevant Description
533493,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000533493.jpg,two men with different red and blue squares,VCD Diffusion Noise,LLaVA,"The image features a man and a woman standing next to each other. The man is wearing a black shirt, while the woman is wearing a black shirt and a black hat. They appear to be in a room with a blue background",Other/Irrelevant Description
491216,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000491216.jpg,a kitchen with a dog laying on the floor,VCD Diffusion Noise,BLIP-2,This is a kitchen with a window and a sink,Other/Irrelevant Description
491216,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000491216.jpg,a kitchen with a dog laying on the floor,VCD Diffusion Noise,LLaVA,"The image is a black and white photo of a street scene. The photo is taken from a perspective looking down the street. There are several people visible in the scene, with some standing closer to the foreground and others further down the street.",Other/Irrelevant Description
31093,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000031093.jpg,a skateboarder doing a trick on a ramp,VCD Diffusion Noise,BLIP-2,A skateboarder is riding a ramp,Other/Irrelevant Description
31093,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000031093.jpg,a skateboarder doing a trick on a ramp,VCD Diffusion Noise,LLaVA,"The image features a person riding a skateboard on a street. The skateboarder is wearing a blue shirt and appears to be enjoying the ride. The skateboard is positioned in the middle of the scene,",Other/Irrelevant Description
461009,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000461009.jpg,a man holding an apple,VCD Diffusion Noise,BLIP-2,The image is a photograph of a man holding a yellow apple in his hand,Ignored Perturbation
461009,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000461009.jpg,a man holding an apple,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a man holding a donut. The man is the main focus of the image, and the donut is prominently displayed in his hand. The scene is set in a room with a",Other/Irrelevant Description
301421,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000301421.jpg,"a computer desk with a mouse, keyboard, and monitor",VCD Diffusion Noise,BLIP-2,"A desk with a computer, a chair, and a picture frame",Other/Irrelevant Description
301421,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000301421.jpg,"a computer desk with a mouse, keyboard, and monitor",VCD Diffusion Noise,LLaVA,"The image is a close-up of a computer desk, featuring a computer monitor and a keyboard. The monitor is placed on the desk, and the keyboard is positioned in front of it. The desk appears to be made of wood",Ignored Perturbation
