sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
67fde4bd3e2e120b363a8a75,/root/fiftyone/coco-2017/validation/data/000000058384.jpg,elephants in a field with a pool,Rotation+GaussianBlur,LLaVA,"The image features a group of elephants standing together in a fenced-in area. There are three elephants in total, with one on the left side, another in the middle, and the third one on the right side of the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a7f,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,Rotation+GaussianBlur,BLIP-2,a man in a white shirt and tie sitting in a chair,Ignored Perturbation
67fde4bd3e2e120b363a8a7f,/root/fiftyone/coco-2017/validation/data/000000443426.jpg,a man sitting in a chair,Rotation+GaussianBlur,LLaVA,"The image features a man sitting in a chair, wearing glasses and a tie. He appears to be in a relaxed position, possibly taking a break or waiting for someone. The man is seated in front of a large whiteboard,",Other/Irrelevant Description
67fde4be3e2e120b363a8bd7,/root/fiftyone/coco-2017/validation/data/000000411774.jpg,a woman holding a tennis racket,Rotation+GaussianBlur,BLIP-2,a woman holding a tennis racket,Ignored Perturbation
67fde4be3e2e120b363a8bd7,/root/fiftyone/coco-2017/validation/data/000000411774.jpg,a woman holding a tennis racket,Rotation+GaussianBlur,LLaVA,"The image features a woman sitting on a bed, holding a tennis racket in her hand. She is wearing glasses and has a tattoo on her arm. The woman appears to be enjoying her time, possibly taking a break from",Other/Irrelevant Description
67fde4bd3e2e120b363a8a8a,/root/fiftyone/coco-2017/validation/data/000000563470.jpg,a person bending over to pick up a blue stick,Rotation+GaussianBlur,BLIP-2,a woman bending over to pick up a blue stick,Ignored Perturbation
67fde4bd3e2e120b363a8a8a,/root/fiftyone/coco-2017/validation/data/000000563470.jpg,a person bending over to pick up a blue stick,Rotation+GaussianBlur,LLaVA,"The image features a woman bending over and holding a baseball bat. She appears to be practicing her swing or preparing to play. The scene takes place in a park, with a bench visible in the background. The woman is the main",Other/Irrelevant Description
67fde4be3e2e120b363a8bba,/root/fiftyone/coco-2017/validation/data/000000344888.jpg,two horses in a field,Rotation+GaussianBlur,BLIP-2,A horse and a tractor in a field,Other/Irrelevant Description
67fde4be3e2e120b363a8bba,/root/fiftyone/coco-2017/validation/data/000000344888.jpg,two horses in a field,Rotation+GaussianBlur,LLaVA,"The image features a large red tractor parked in a grassy field. The tractor is situated near the center of the scene, with a horse standing close to it. There are two horses in the field, one on the left side and",Other/Irrelevant Description
67fde4bd3e2e120b363a88fb,/root/fiftyone/coco-2017/validation/data/000000502136.jpg,a door with a plaque on it,Rotation+GaussianBlur,BLIP-2,A door with a flower vase on the side,Other/Irrelevant Description
67fde4bd3e2e120b363a88fb,/root/fiftyone/coco-2017/validation/data/000000502136.jpg,a door with a plaque on it,Rotation+GaussianBlur,LLaVA,"The image features a doorway with a blue door, which is part of a building. The doorway is adorned with a plaque, and there are several vases placed around the area. Some of the vases are located near the",Other/Irrelevant Description
67fde4be3e2e120b363a8bc4,/root/fiftyone/coco-2017/validation/data/000000009590.jpg,a group of people sitting around a table,Rotation+GaussianBlur,BLIP-2,a group of people sitting around a table in a room,Ignored Perturbation
67fde4be3e2e120b363a8bc4,/root/fiftyone/coco-2017/validation/data/000000009590.jpg,a group of people sitting around a table,Rotation+GaussianBlur,LLaVA,"The image depicts a group of people sitting around a dining table, enjoying a meal together. There are at least six people in the scene, with some sitting closer to the table and others further away. The table is filled with",Ignored Perturbation
67fde4be3e2e120b363a8bcc,/root/fiftyone/coco-2017/validation/data/000000426241.jpg,a computer desk with a tv and a keyboard,Rotation+GaussianBlur,BLIP-2,A computer desk with a laptop and a monitor,Other/Irrelevant Description
67fde4be3e2e120b363a8bcc,/root/fiftyone/coco-2017/validation/data/000000426241.jpg,a computer desk with a tv and a keyboard,Rotation+GaussianBlur,LLaVA,"The image features a room with a large desk in the center. On the desk, there is a laptop and a keyboard, along with a mouse. A television is mounted on the wall above the desk, providing entertainment for the room",Other/Irrelevant Description
67fde4bd3e2e120b363a8a79,/root/fiftyone/coco-2017/validation/data/000000564280.jpg,a dog sitting on a couch,Rotation+GaussianBlur,BLIP-2,A dog sitting on a red couch with a piece of paper on the table,Ignored Perturbation
67fde4bd3e2e120b363a8a79,/root/fiftyone/coco-2017/validation/data/000000564280.jpg,a dog sitting on a couch,Rotation+GaussianBlur,LLaVA,"The image features a black and white dog sitting on a red couch. The dog is laying down and appears to be relaxed. On the couch, there is a remote control and a cell phone placed near the dog. The scene gives",Ignored Perturbation
67fde4bd3e2e120b363a8a6b,/root/fiftyone/coco-2017/validation/data/000000130586.jpg,a boy playing with a kite,Rotation+GaussianBlur,BLIP-2,A boy is running with a kite,Ignored Perturbation
67fde4bd3e2e120b363a8a6b,/root/fiftyone/coco-2017/validation/data/000000130586.jpg,a boy playing with a kite,Rotation+GaussianBlur,LLaVA,"The image features a young boy standing in a grassy field, holding a colorful kite. He appears to be enjoying the outdoor activity, possibly flying the kite in the sky. The boy is the main focus of the scene,",Other/Irrelevant Description
67fde4bd3e2e120b363a8a89,/root/fiftyone/coco-2017/validation/data/000000488385.jpg,a motorcycle parked on the side of a street,Rotation+GaussianBlur,BLIP-2,A motorcycle parked on the sidewalk,Ignored Perturbation
67fde4bd3e2e120b363a8a89,/root/fiftyone/coco-2017/validation/data/000000488385.jpg,a motorcycle parked on the side of a street,Rotation+GaussianBlur,LLaVA,"The image features a black and white motorcycle parked on the side of a street. The motorcycle is prominently displayed, taking up a significant portion of the scene. The street appears to be made of bricks, giving it a unique",Other/Irrelevant Description
67fde4be3e2e120b363a8bb5,/root/fiftyone/coco-2017/validation/data/000000148508.jpg,a red double decker bus,Rotation+GaussianBlur,BLIP-2,a red double decker bus is driving down the street,Ignored Perturbation
67fde4be3e2e120b363a8bb5,/root/fiftyone/coco-2017/validation/data/000000148508.jpg,a red double decker bus,Rotation+GaussianBlur,LLaVA,"The image captures a busy street scene with a red double-decker bus driving down the road. The bus is surrounded by a crowd of people, some of whom are standing on the sidewalk, while others are walking along the street.",Other/Irrelevant Description
67fde4bd3e2e120b363a8a72,/root/fiftyone/coco-2017/validation/data/000000246968.jpg,a woman in a kitchen preparing food,Rotation+GaussianBlur,BLIP-2,A woman is preparing a drink in a kitchen,Ignored Perturbation
67fde4bd3e2e120b363a8a72,/root/fiftyone/coco-2017/validation/data/000000246968.jpg,a woman in a kitchen preparing food,Rotation+GaussianBlur,LLaVA,"The image features a woman standing in a kitchen, preparing food. She is positioned near the center of the scene, surrounded by various kitchen items. There are multiple bottles scattered around the kitchen, with some placed closer to the woman and others",Ignored Perturbation
67fde4bd3e2e120b363a8a87,/root/fiftyone/coco-2017/validation/data/000000382743.jpg,a kite flying in the sky,Rotation+GaussianBlur,BLIP-2,A kite flying in the sky,Ignored Perturbation
67fde4bd3e2e120b363a8a87,/root/fiftyone/coco-2017/validation/data/000000382743.jpg,a kite flying in the sky,Rotation+GaussianBlur,LLaVA,"The image features a group of colorful kites flying in the sky. There are at least five kites visible, each with a unique design and pattern. The kites are spread across the sky, with some flying higher and others closer to the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a84,/root/fiftyone/coco-2017/validation/data/000000270474.jpg,a little girl holding a baseball bat,Rotation+GaussianBlur,BLIP-2,A young girl holding a baseball bat,Ignored Perturbation
67fde4bd3e2e120b363a8a84,/root/fiftyone/coco-2017/validation/data/000000270474.jpg,a little girl holding a baseball bat,Rotation+GaussianBlur,LLaVA,"The image features a young girl standing in a yard, holding a baseball bat. She appears to be excited and is making a funny face while holding the bat. The girl is wearing a dress, which adds a playful touch to the scene",Other/Irrelevant Description
67fde4bd3e2e120b363a8a8f,/root/fiftyone/coco-2017/validation/data/000000170474.jpg,a man playing tennis,Rotation+GaussianBlur,BLIP-2,A man is holding a tennis racket and serving a ball,Other/Irrelevant Description
67fde4bd3e2e120b363a8a8f,/root/fiftyone/coco-2017/validation/data/000000170474.jpg,a man playing tennis,Rotation+GaussianBlur,LLaVA,"The image features a man wearing a blue shirt and holding a tennis racket. He is in the process of hitting a tennis ball with the racket, showcasing his skill in the sport. The scene takes place on a tennis court",Other/Irrelevant Description
67fde4bd3e2e120b363a8a9e,/root/fiftyone/coco-2017/validation/data/000000423971.jpg,a toilet with a light on it,Rotation+GaussianBlur,BLIP-2,A toilet with a light on it,Ignored Perturbation
67fde4bd3e2e120b363a8a9e,/root/fiftyone/coco-2017/validation/data/000000423971.jpg,a toilet with a light on it,Rotation+GaussianBlur,LLaVA,"The image features a white toilet with a blue light on the side. The toilet is situated in a bathroom, and there is a remote control placed on the toilet seat. The remote control is likely used to operate the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a7c,/root/fiftyone/coco-2017/validation/data/000000383842.jpg,a woman playing a video game,Rotation+GaussianBlur,BLIP-2,a woman in a lab coat holding a remote control,Other/Irrelevant Description
67fde4bd3e2e120b363a8a7c,/root/fiftyone/coco-2017/validation/data/000000383842.jpg,a woman playing a video game,Rotation+GaussianBlur,LLaVA,"The image features a group of people gathered around a laptop, with a woman prominently standing in front of it. She is holding a Wii remote, possibly playing a video game. The other people in the scene are watching her play, possibly",Other/Irrelevant Description
67fde4bd3e2e120b363a8a82,/root/fiftyone/coco-2017/validation/data/000000269866.jpg,a microwave oven,Rotation+GaussianBlur,BLIP-2,A microwave oven,Ignored Perturbation
67fde4bd3e2e120b363a8a82,/root/fiftyone/coco-2017/validation/data/000000269866.jpg,a microwave oven,Rotation+GaussianBlur,LLaVA,"The image features a stainless steel microwave sitting on a countertop. The microwave is turned off, and its door is open, revealing the interior. The microwave is placed next to a sink, which is located",Other/Irrelevant Description
67fde4be3e2e120b363a8bbc,/root/fiftyone/coco-2017/validation/data/000000327890.jpg,a park bench with a tree in the background,Rotation+GaussianBlur,BLIP-2,A park bench,Ignored Perturbation
67fde4be3e2e120b363a8bbc,/root/fiftyone/coco-2017/validation/data/000000327890.jpg,a park bench with a tree in the background,Rotation+GaussianBlur,LLaVA,"The image features a park with a bench situated under a tree. The bench is positioned near the center of the scene, and it appears to be a popular spot for relaxation. 

In the background, there are several cars",Other/Irrelevant Description
67fde4be3e2e120b363a8bd6,/root/fiftyone/coco-2017/validation/data/000000440184.jpg,a couple of people playing tennis on a court,Rotation+GaussianBlur,BLIP-2,a tennis player in action,Other/Irrelevant Description
67fde4be3e2e120b363a8bd6,/root/fiftyone/coco-2017/validation/data/000000440184.jpg,a couple of people playing tennis on a court,Rotation+GaussianBlur,LLaVA,"The image features a group of people playing tennis on a court. There are at least five people in the scene, with some of them actively engaged in the game. One person is holding a tennis racket, ready to hit the ball.",Other/Irrelevant Description
67fde4be3e2e120b363a8bcf,/root/fiftyone/coco-2017/validation/data/000000560911.jpg,a man sitting on a couch,Rotation+GaussianBlur,BLIP-2,A man sitting on a couch with his cell phone in his hand,Ignored Perturbation
67fde4be3e2e120b363a8bcf,/root/fiftyone/coco-2017/validation/data/000000560911.jpg,a man sitting on a couch,Rotation+GaussianBlur,LLaVA,"The image features a man sitting comfortably on a couch, holding a cell phone in his hand. He appears to be engaged in a conversation or using his phone for some purpose. The couch is positioned in the center of the room,",Other/Irrelevant Description
67fde4bd3e2e120b363a8a8e,/root/fiftyone/coco-2017/validation/data/000000168337.jpg,a man standing outside of a building,Rotation+GaussianBlur,BLIP-2,A man is walking down the street,Other/Irrelevant Description
67fde4bd3e2e120b363a8a8e,/root/fiftyone/coco-2017/validation/data/000000168337.jpg,a man standing outside of a building,Rotation+GaussianBlur,LLaVA,"The image features a red fire hydrant situated on the sidewalk next to a building. There are two people standing near the fire hydrant, one closer to the left side of the image and the other person standing further to the right.",Other/Irrelevant Description
67fde4bd3e2e120b363a8a80,/root/fiftyone/coco-2017/validation/data/000000090062.jpg,a cow standing in front of a pile of wood,Rotation+GaussianBlur,BLIP-2,a cow standing in front of a barn,Other/Irrelevant Description
67fde4bd3e2e120b363a8a80,/root/fiftyone/coco-2017/validation/data/000000090062.jpg,a cow standing in front of a pile of wood,Rotation+GaussianBlur,LLaVA,"The image features a black and white cow standing in a grassy area. The cow is positioned near a wooden structure, possibly a barn or a shed. The scene also includes a pile of logs, which are scattered around the cow and",Other/Irrelevant Description
67fde4bd3e2e120b363a8a93,/root/fiftyone/coco-2017/validation/data/000000488251.jpg,a man standing next to a horse,Rotation+GaussianBlur,BLIP-2,a man in a cowboy hat and vest standing next to a horse,Ignored Perturbation
67fde4bd3e2e120b363a8a93,/root/fiftyone/coco-2017/validation/data/000000488251.jpg,a man standing next to a horse,Rotation+GaussianBlur,LLaVA,"The image features a man wearing a cowboy hat and vest, standing next to a brown horse. The man appears to be smiling, possibly enjoying his time with the horse. The horse is positioned on the left side of the man",Ignored Perturbation
67fde4be3e2e120b363a8bcd,/root/fiftyone/coco-2017/validation/data/000000545826.jpg,a cat,Rotation+GaussianBlur,BLIP-2,A cat wearing a blue hat,Other/Irrelevant Description
67fde4be3e2e120b363a8bcd,/root/fiftyone/coco-2017/validation/data/000000545826.jpg,a cat,Rotation+GaussianBlur,LLaVA,"The image features a black and white cat wearing a blue knitted hat. The cat is sitting on a chair, and the hat appears to be a bit too large for its head. The cat seems to be enjoying the hat, and it",Other/Irrelevant Description
67fde4be3e2e120b363a8bb9,/root/fiftyone/coco-2017/validation/data/000000392481.jpg,a fighter jet flying through the sky,Rotation+GaussianBlur,BLIP-2,A fighter jet flying in the sky,Ignored Perturbation
67fde4be3e2e120b363a8bb9,/root/fiftyone/coco-2017/validation/data/000000392481.jpg,a fighter jet flying through the sky,Rotation+GaussianBlur,LLaVA,"The image features a fighter jet flying high in the sky. The jet is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky appears to be cloudy, adding a dramatic back",Other/Irrelevant Description
67fde4be3e2e120b363a8bbe,/root/fiftyone/coco-2017/validation/data/000000407298.jpg,a young boy holding a baseball glove,Rotation+GaussianBlur,BLIP-2,a young boy holding a baseball glove and a baseball,Ignored Perturbation
67fde4be3e2e120b363a8bbe,/root/fiftyone/coco-2017/validation/data/000000407298.jpg,a young boy holding a baseball glove,Rotation+GaussianBlur,LLaVA,"The image features a young boy wearing a blue shirt, standing in a grassy area and holding a baseball glove. He is proudly displaying his catcher's mitt, which is placed on top of a baseball. The boy appears",Ignored Perturbation
67fde4bd3e2e120b363a8a78,/root/fiftyone/coco-2017/validation/data/000000549167.jpg,a plate of food on a table,Rotation+GaussianBlur,BLIP-2,A plate of food,Ignored Perturbation
67fde4bd3e2e120b363a8a78,/root/fiftyone/coco-2017/validation/data/000000549167.jpg,a plate of food on a table,Rotation+GaussianBlur,LLaVA,"The image features a white plate filled with a delicious and healthy meal. The plate is topped with a mixture of rice, broccoli, and almonds. The broccoli is scattered across the plate, with some pieces",Other/Irrelevant Description
67fde4bd3e2e120b363a8a86,/root/fiftyone/coco-2017/validation/data/000000451714.jpg,a man on skis on a snowy slope,Rotation+GaussianBlur,BLIP-2,A woman in a red ski suit is standing on a snow covered slope,Other/Irrelevant Description
67fde4bd3e2e120b363a8a86,/root/fiftyone/coco-2017/validation/data/000000451714.jpg,a man on skis on a snowy slope,Rotation+GaussianBlur,LLaVA,"The image features a snowy hill with a man wearing a red snowsuit standing on skis. He is posing for a picture, likely enjoying his time on the slopes. Another person can be seen in the background,",Other/Irrelevant Description
67fde4be3e2e120b363a8bc6,/root/fiftyone/coco-2017/validation/data/000000255664.jpg,a dog catching a frisbee,Rotation+GaussianBlur,BLIP-2,A dog catching a frisbee,Ignored Perturbation
67fde4be3e2e120b363a8bc6,/root/fiftyone/coco-2017/validation/data/000000255664.jpg,a dog catching a frisbee,Rotation+GaussianBlur,LLaVA,"The image features a brown dog in a grassy field, with its mouth open and teeth bared, as if it is about to catch a frisbee. The dog is in the process of catching a frisbee that is",Ignored Perturbation
67fde4be3e2e120b363a8bc2,/root/fiftyone/coco-2017/validation/data/000000042888.jpg,a street sign on a pole,Rotation+GaussianBlur,BLIP-2,A street sign on a pole,Ignored Perturbation
67fde4be3e2e120b363a8bc2,/root/fiftyone/coco-2017/validation/data/000000042888.jpg,a street sign on a pole,Rotation+GaussianBlur,LLaVA,"The image features a street scene with a street sign on a pole. The sign is positioned near the center of the scene, and it appears to be a no parking zone sign. The street is lined with trees, creating a pleasant atmosphere",Ignored Perturbation
67fde4bd3e2e120b363a88fc,/root/fiftyone/coco-2017/validation/data/000000573626.jpg,two cows standing on rocks near a river,Rotation+GaussianBlur,BLIP-2,A bear and a cow are walking along a river bank,Other/Irrelevant Description
67fde4bd3e2e120b363a88fc,/root/fiftyone/coco-2017/validation/data/000000573626.jpg,two cows standing on rocks near a river,Rotation+GaussianBlur,LLaVA,"The image features a serene scene of a river with a few rocks scattered throughout the water. Two animals, possibly deer, are standing on the rocks, enjoying the view of the water. The animals are positioned close to each other,",Other/Irrelevant Description
67fde4bd3e2e120b363a88f9,/root/fiftyone/coco-2017/validation/data/000000037751.jpg,a person riding a motorcycle on a dirt road,Rotation+GaussianBlur,BLIP-2,A person riding a motorcycle on a dirt road,Ignored Perturbation
67fde4bd3e2e120b363a88f9,/root/fiftyone/coco-2017/validation/data/000000037751.jpg,a person riding a motorcycle on a dirt road,Rotation+GaussianBlur,LLaVA,"The image features a man riding a motorcycle on a dirt road, possibly on a mountain trail. The man is wearing a backpack, which is visible on his back. The motorcycle is positioned in the middle of the scene",Other/Irrelevant Description
67fde4bd3e2e120b363a8a6e,/root/fiftyone/coco-2017/validation/data/000000346905.jpg,a family of elephants walking in the wild,Rotation+GaussianBlur,BLIP-2,a family of elephants,Ignored Perturbation
67fde4bd3e2e120b363a8a6e,/root/fiftyone/coco-2017/validation/data/000000346905.jpg,a family of elephants walking in the wild,Rotation+GaussianBlur,LLaVA,"The image features a group of elephants walking together in a lush green forest. There are at least five elephants visible in the scene, with some of them being larger and others smaller. The elephants are spread out across the",Other/Irrelevant Description
67fde4be3e2e120b363a8bce,/root/fiftyone/coco-2017/validation/data/000000399655.jpg,a dog laying on a couch with a shoe,Rotation+GaussianBlur,BLIP-2,A dog laying on a couch with a shoe on its head,Ignored Perturbation
67fde4be3e2e120b363a8bce,/root/fiftyone/coco-2017/validation/data/000000399655.jpg,a dog laying on a couch with a shoe,Rotation+GaussianBlur,LLaVA,"The image features a black and white dog lying on a couch, with a pair of red shoes placed on its head. The dog appears to be resting or sleeping, and the shoes are positioned in such a way that they",Other/Irrelevant Description
67fde4be3e2e120b363a8bbf,/root/fiftyone/coco-2017/validation/data/000000045550.jpg,a man holding a plate of food,Rotation+GaussianBlur,BLIP-2,A man with a plate of food,Ignored Perturbation
67fde4be3e2e120b363a8bbf,/root/fiftyone/coco-2017/validation/data/000000045550.jpg,a man holding a plate of food,Rotation+GaussianBlur,LLaVA,"The image features a man wearing glasses, holding a plate with a piece of food on it. The food appears to be a sandwich or a piece of cake. The man is smiling, possibly enjoying the meal or the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a9d,/root/fiftyone/coco-2017/validation/data/000000050679.jpg,an orange,Rotation+GaussianBlur,BLIP-2,A car is parked in the middle of the road,Other/Irrelevant Description
67fde4bd3e2e120b363a8a9d,/root/fiftyone/coco-2017/validation/data/000000050679.jpg,an orange,Rotation+GaussianBlur,LLaVA,"The image features a small, round, and slightly bruised orange sitting on a black asphalt surface. The orange is positioned in the center of the scene, surrounded by a parking lot filled with various cars.

There are several",Other/Irrelevant Description
67fde4be3e2e120b363a8bd8,/root/fiftyone/coco-2017/validation/data/000000227898.jpg,a horse drawn carriage,Rotation+GaussianBlur,BLIP-2,A horse and carriage ride on a street in front of a building,Other/Irrelevant Description
67fde4be3e2e120b363a8bd8,/root/fiftyone/coco-2017/validation/data/000000227898.jpg,a horse drawn carriage,Rotation+GaussianBlur,LLaVA,"The image features a horse-drawn carriage with a man sitting in the carriage, waving to the people around him. The carriage is moving down the street, and there are several people standing nearby, watching the scene unfold.

In addition",Other/Irrelevant Description
67fde4bd3e2e120b363a8a99,/root/fiftyone/coco-2017/validation/data/000000439290.jpg,a banana tree with bananas hanging from it,Rotation+GaussianBlur,BLIP-2,A banana tree with bananas hanging from the branches,Ignored Perturbation
67fde4bd3e2e120b363a8a99,/root/fiftyone/coco-2017/validation/data/000000439290.jpg,a banana tree with bananas hanging from it,Rotation+GaussianBlur,LLaVA,"The image features a bunch of green bananas hanging from a tree. The bananas are in various stages of ripeness, with some appearing ripe and others still unripe. The bananas are scattered throughout the tree, with some closer",Other/Irrelevant Description
67fde4bd3e2e120b363a8a85,/root/fiftyone/coco-2017/validation/data/000000194216.jpg,a bear walking on a fallen tree,Rotation+GaussianBlur,BLIP-2,A bear is walking through a forest,Other/Irrelevant Description
67fde4bd3e2e120b363a8a85,/root/fiftyone/coco-2017/validation/data/000000194216.jpg,a bear walking on a fallen tree,Rotation+GaussianBlur,LLaVA,"The image features a group of bears in a forest setting. There are three bears in total, with one standing on a fallen tree and the other two standing nearby. The bears appear to be exploring the area, possibly searching for food",Other/Irrelevant Description
67fde4be3e2e120b363a8bd5,/root/fiftyone/coco-2017/validation/data/000000146825.jpg,a train on the tracks,Rotation+GaussianBlur,BLIP-2,a train,Ignored Perturbation
67fde4be3e2e120b363a8bd5,/root/fiftyone/coco-2017/validation/data/000000146825.jpg,a train on the tracks,Rotation+GaussianBlur,LLaVA,"The image features a red train traveling down the tracks, passing by a building. The train is quite large, occupying most of the scene. The train appears to be moving along the tracks, possibly near a station or a busy area. The",Ignored Perturbation
67fde4bd3e2e120b363a8a92,/root/fiftyone/coco-2017/validation/data/000000562121.jpg,two zebras fighting in the wild,Rotation+GaussianBlur,BLIP-2,A zebra and a wildebeest fighting,Other/Irrelevant Description
67fde4bd3e2e120b363a8a92,/root/fiftyone/coco-2017/validation/data/000000562121.jpg,two zebras fighting in the wild,Rotation+GaussianBlur,LLaVA,"The image captures a lively scene in a grassy field, where two zebras are fighting each other. The zebras are positioned close to each other, with one zebra on the left side of the image and the",Other/Irrelevant Description
67fde4bd3e2e120b363a8a74,/root/fiftyone/coco-2017/validation/data/000000257624.jpg,a little girl standing next to a soccer ball,Rotation+GaussianBlur,BLIP-2,A young girl standing in front of a soccer ball,Ignored Perturbation
67fde4bd3e2e120b363a8a74,/root/fiftyone/coco-2017/validation/data/000000257624.jpg,a little girl standing next to a soccer ball,Rotation+GaussianBlur,LLaVA,"The image features a young girl wearing a black jacket and a blue headband. She is standing in a grassy field, possibly playing or engaging in an outdoor activity. The girl appears to be enjoying her time outdoors",Other/Irrelevant Description
67fde4bd3e2e120b363a8a96,/root/fiftyone/coco-2017/validation/data/000000263425.jpg,two men in a backyard with a hot dog,Rotation+GaussianBlur,BLIP-2,a man and woman are preparing a pig in a truck,Other/Irrelevant Description
